信息来源,网站,搜索条件,产品/Product,产品分类/Product Category,规格型号,生产日期/通报编号/Reference,生产企业/Subject,不合格项（标准值）/Substance/Hazard,标准值,检验结果/Analytical Result,单位/Unit,发布单位/Notification from,发布日期/Date of case
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=75765,芝麻油-污染物-全部,纯芝麻油,食用油脂及其制品-->食用植物油,180mL/瓶,2015-02-16,中百超市有限公司安山镇分店,苯并（а）芘,≤10µg/kg,234µg/kg,,原国家食药总局,2015-02-16
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=78276,芝麻油-污染物-全部,(芝麻油）小磨香油,食用油脂及其制品-->食用植物油,/,2015-05-12,晋中市榆次区喜旺小磨香油坊,苯并（а）芘,≤10μk/kg,26μk/kg,,原国家食药总局,2015-05-12
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=78277,芝麻油-污染物-全部,(芝麻油）小磨香油,食用油脂及其制品-->食用植物油,/,2015-05-12,晋中市榆次纯真小磨香油坊,苯并（а）芘,≤10μk/kg,36μk/kg,,原国家食药总局,2015-05-12
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=78612,芝麻油-污染物-全部,洪雷芝麻油,食用油脂及其制品-->食用植物油,250mL/瓶,2015-05-12,柳州市柳南区洪雷油脂厂,苯并（а）芘,≤10µg/kg,22.2µg/kg,,原国家食药总局,2015-05-12
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=82334,芝麻油-污染物-全部,芝麻油（小磨香油）,食用油脂及其制品-->食用植物油,280ml/瓶,2015-09-14,晋中市陈志勇调味品有限公司,苯并（а）芘,≤10,19,,山西市场监管局,2015-09-14
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=83554,芝麻油-污染物-全部,纯芝麻油,食用油脂及其制品-->食用植物油,350mL/瓶,2015-10-30,湖南家润多超市有限公司赤岗店,苯并（а）芘,≤10μg/kg,28μg/kg,,湖南市场监管局,2015-10-30
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=86574,芝麻油-污染物-全部,小磨芝麻油（黑芝麻）,食用油脂及其制品-->食用植物油,448mL/瓶,2015-12-30,泰州市久滋香食品有限公司,苯并[a]芘,≤10μg/kg,19.4μg/kg,,江苏市场监管局,2015-12-30
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=86575,芝麻油-污染物-全部,小磨芝麻油（一级）（芝麻）,食用油脂及其制品-->食用植物油,448mL/瓶,2015-12-30,泰州市久滋香食品有限公司,苯并[a]芘,≤10μg/kg,27.8μg/kg,,江苏市场监管局,2015-12-30
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=87912,芝麻油-污染物-全部,纯正黑芝麻油,食用油脂及其制品-->食用植物油,450ml/瓶,2016-01-20,镇江市纯之源食用油有限公司,苯并[a]芘,≤10μg/kg,31.8μg/kg,,江苏市场监管局,2016-01-20
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=88580,芝麻油-污染物-全部,纯芝麻油,食用油脂及其制品-->食用植物油,385毫升/瓶,2016-03-01,成都宝阳味业有限责任公司,铅,≤0.1mg/kg,0.21mg/kg,,四川市场监管局,2016-03-01
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=103465,芝麻油-污染物-全部,芝麻油,食用油脂及其制品-->食用植物油,315ml/瓶,2016-05-30,平遥县柱柱水产便利,苯并[a]芘,≤10μg/kg,15μg/kg,,山西市场监管局,2016-05-30
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=149879,芝麻油-污染物-全部,小磨芝麻油,食用油脂及其制品-->食用植物油,345ml/瓶,2016-06-15,泰州市久滋香食品有限公司,苯并[a]芘,123ug/kg,≤10ug/kg,,江苏市场监管局,2016-06-15
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=335520,芝麻油-污染物-全部,添发牌纯芝麻油,食用油脂及其制品-->食用植物油,430ml/瓶,2016-08-10,上海市金山区邱官坤食品店,苯并(α)芘,≤10μg/kg,16μg/kg,,上海市场监管局,2016-08-10
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=657809,芝麻油-污染物-全部,芝麻油（小磨香油）,食用油脂及其制品-->食用植物油,168mL/瓶,2016-11-16,枣庄市市中区润泽百货超市,苯并（α）芘,≤10μg/kg,15.3μg/kg,,山东市场监管局,2016-11-16
中国监督抽查（食品伙伴网）,http://db.foodmate.net/choujian/gncj_show.php?id=792491,芝麻油-污染物-全部,纯正黑芝麻油,食用油脂及其制品-->食用植物油,270mL/瓶、压榨,2016-12-22,嘉鱼县天香麻油厂,苯并（a）芘,≤10μg/kg,169μg/kg,,湖北市场监管局,2016-12-22
